FSO_Att,RFL_Att,AbsoluteHumidity,AbsoluteHumidityMax,AbsoluteHumidityMin,Distance,Frequency,Particulate,ParticulateMax,ParticulateMin,RainIntensity,RainIntensityMax,RainIntensityMin,RelativeHumidity,SYNOPCode,Temperature,TemperatureDifference,TemperatureMax,TemperatureMin,Time,Visibility,VisibilityMax,VisibilityMin,WindDirection,WindSpeed,WindSpeedMax,WindSpeedMin
7.470354908,9.86809889445647,17.82349307,18.9192591156047,17.6398742938009,2960.60186,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,84.6225735976435,3,23.42740864,-0.28,24.3454933783955,21.1373850459561,14,9380.490069,9753.14005059903,9306.14354703986,81.2585710867332,0.174669608,0.586141561,0.17104300118257
7.244806356,9.51968924762886,18.10396934,18.1765606808887,17.6396174443042,2964.825896,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,85.0899884173125,3,23.6047694,0.3,25.6829190165097,22.5968362932282,15,15.94081246,16.2176735036018,14.9243172664597,79.8940649617516,0.635386073,1.610484226,0.633061991659701
7.198343803,8.26216797638721,17.96151627,19.6879290276285,17.935145139974,2959.590608,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,84.4129702031147,3,23.60632528,0.13,24.5829537690261,22.9508660907399,15,16.52129724,17.4982057331863,16.5062087100744,119.796551027068,0.552410124,1.417015197,0.546044723293849
7.037691102,9.42212667138203,18.05689334,19.7608066068186,16.4974310348472,2955.372479,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,85.9607430364047,3,23.38042045,0.18,25.1742072808126,21.6638458579269,15,17.90836148,18.359785018443,17.716248480111,81.6828190283587,1.045861977,2.614470708,0.993669075107878
6.983223606,8.26232955122388,17.72715223,19.091930351038,15.9660809330567,2958.689352,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,83.3625247859335,3,23.59558062,0.3,24.8670612306042,22.1490395864975,15,18.83081051,20.2507033923205,17.0400516410345,85.2482512680358,0.701342901,1.551613726,0.631907645415981
6.815090624,8.05907124154712,17.65657489,19.2369715521923,15.9331186602592,2956.730392,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,82.2353148918337,3,23.76471917,0.35,26.0204775346608,22.2735393892897,15,163.6949386,176.906448255884,160.91062501926,88.1625994113667,0.0,0.472972682,0.0
6.856854321,9.72439493494353,17.61477444,18.1722140148426,17.2152108841542,2955.19179,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,81.0738281123667,3,23.97334392,0.45,24.2674854250414,21.8552605506368,15,2355.377701,2463.84410722659,2349.53743367402,98.7594658664386,0.0,0.280212231,0.0
7.203145337,7.72212088264119,17.56316679,18.999937904085,16.6838460067484,2957.413056,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,80.4024950424663,3,24.06815285,-0.68,24.7365003384334,23.6064053628636,17,27.22991045,29.6215811949498,27.1815450090328,146.89750958686,0.199036566,0.650123129,0.198608462097135
7.127629776,7.73213852120651,17.29518138,18.7976195967141,17.1009602910414,2963.022471,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,80.4164256121199,3,23.79437181,-1.39,25.0844348367254,23.2951979458568,17,28399.34637,30389.5186986145,26995.0285927659,91.9167398481226,1.026306738,2.158741033,0.95258394771161
8.061497533,5.59667573301834,14.51092273,14.7398251218919,13.3954444938048,2963.540179,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,95.8612937833329,3,17.76092492,-0.5,19.1458717790957,16.8729343717108,19,22261.18564,24148.8185128777,21887.4752820347,83.5320607283954,0.043536179,0.175722366,0.0398264456326697
